top_category,sub_category,naics_code,n_pois,naics_2digit
Postal Service,Postal Service,491110,23457,49
Printing and Related Support Activities,Books Printing,323117,218,32
Printing and Related Support Activities,Commercial Printing (except Screen and Books),323111,470,32
Printing and Related Support Activities,Commercial Screen Printing,323113,633,32
Professional and Commercial Equipment and Supplies Merchant Wholesalers,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,814,42
"Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities",711310,17716,71
Psychiatric and Substance Abuse Hospitals,Psychiatric and Substance Abuse Hospitals,622210,1840,62
"Pulp, Paper, and Paperboard Mills",Paper (except Newsprint) Mills,322121,20,32
RV (Recreational Vehicle) Parks and Recreational Camps,RV (Recreational Vehicle) Parks and Campgrounds,721211,1288,72
RV (Recreational Vehicle) Parks and Recreational Camps,Recreational and Vacation Camps (except Campgrounds),721214,1,72
Radio and Television Broadcasting,Television Broadcasting,515120,1,51
Rail Transportation,Line-Haul Railroads,482111,1012,48
Railroad Rolling Stock Manufacturing,Railroad Rolling Stock Manufacturing,336510,1,33
Religious Organizations,Religious Organizations,813110,268151,81
Remediation and Other Waste Management Services,Materials Recovery Facilities,562920,441,56
Remediation and Other Waste Management Services,Remediation Services,562910,9,56
Remediation and Other Waste Management Services,Septic Tank and Related Services,562991,1513,56
Residential Building Construction,New Multifamily Housing Construction (except For-Sale Builders),236116,1,23
Residential Building Construction,New Single-Family Housing Construction (except For-Sale Builders),236115,77,23
Residential Building Construction,Residential Remodelers,236118,62282,23
"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",Residential Mental Health and Substance Abuse Facilities,623220,1,62
Restaurants and Other Eating Places,"Cafeterias, Grill Buffets, and Buffets",722514,106,72
Restaurants and Other Eating Places,Full-Service Restaurants,722511,441270,72
Restaurants and Other Eating Places,Limited-Service Restaurants,722513,218510,72
Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,129433,72
"Rooming and Boarding Houses, Dormitories, and Workers' Camps","Rooming and Boarding Houses, Dormitories, and Workers' Camps",721310,1,72
Rubber Product Manufacturing,Tire Manufacturing,32621,14,32
Sawmills and Wood Preservation,Sawmills,321113,12,32
"Scenic and Sightseeing Transportation, Land","Scenic and Sightseeing Transportation, Land",487110,264,48
"Scenic and Sightseeing Transportation, Other","Scenic and Sightseeing Transportation, Other",487990,1,48
Scheduled Air Transportation,Scheduled Passenger Air Transportation,481111,246,48
School and Employee Bus Transportation,School and Employee Bus Transportation,485410,1,48
Scientific Research and Development Services,Research and Development in Biotechnology (except Nanobiotechnology),541714,1,54
Scientific Research and Development Services,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,54,54
Securities and Commodity Contracts Intermediation and Brokerage,Investment Banking and Securities Dealing,523110,976,52
Securities and Commodity Contracts Intermediation and Brokerage,Securities Brokerage,523120,508,52
Semiconductor and Other Electronic Component Manufacturing,Semiconductor and Related Device Manufacturing,334413,3,33
Services to Buildings and Dwellings,Carpet and Upholstery Cleaning Services,561740,90,56
Services to Buildings and Dwellings,Exterminating and Pest Control Services,561710,666,56
Services to Buildings and Dwellings,Janitorial Services,561720,1409,56
Services to Buildings and Dwellings,Landscaping Services,561730,1676,56
Services to Buildings and Dwellings,Other Services to Buildings and Dwellings,561790,181,56
Shoe Stores,Shoe Stores,448210,20699,44
Social Advocacy Organizations,"Environment, Conservation and Wildlife Organizations",813312,729,81
Social Advocacy Organizations,Human Rights Organizations,813311,3,81
Social Advocacy Organizations,Other Social Advocacy Organizations,813319,6288,81
Software Publishers,Software Publishers,511210,1,51
Sound Recording Industries,Record Production and Distribution,512250,48,51
Sound Recording Industries,Sound Recording Studios,512240,5205,51
Special Food Services,Caterers,722320,14930,72
Specialized Design Services,Interior Design Services,541410,1,54
Specialized Freight Trucking,"Specialized Freight (except Used Goods) Trucking, Long-Distance",484230,1887,48
Specialized Freight Trucking,Used Household and Office Goods Moving,484210,22058,48
Specialty (except Psychiatric and Substance Abuse) Hospitals,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,37959,62
Specialty Food Stores,All Other Specialty Food Stores,445299,14862,44
Specialty Food Stores,Baked Goods Stores,445291,1441,44
Specialty Food Stores,Confectionery and Nut Stores,445292,9838,44
Specialty Food Stores,Fish and Seafood Markets,445220,6630,44
Specialty Food Stores,Fruit and Vegetable Markets,445230,6148,44
Specialty Food Stores,Meat Markets,445210,11705,44
Spectator Sports,Other Spectator Sports,711219,61,71
Spectator Sports,Racetracks,711212,599,71
Spectator Sports,Sports Teams and Clubs,711211,2062,71
"Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores",451120,21852,45
"Sporting Goods, Hobby, and Musical Instrument Stores",Musical Instrument and Supplies Stores,451140,5795,45
"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores",451130,12932,45
"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,451110,33579,45
Steel Product Manufacturing from Purchased Steel,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,33121,17,33
Steel Product Manufacturing from Purchased Steel,Rolled Steel Shape Manufacturing,331221,53,33
Sugar and Confectionery Product Manufacturing,Chocolate and Confectionery Manufacturing,31135,11,31
Support Activities for Air Transportation,Other Airport Operations,488119,314,48
Support Activities for Air Transportation,Other Support Activities for Air Transportation,488190,4430,48
Support Activities for Crop Production,"Soil Preparation, Planting, and Cultivating",115112,211,11
Support Activities for Forestry,Support Activities for Forestry,115310,1,11
Support Activities for Mining,Drilling Oil and Gas Wells,213111,2,21
Support Activities for Mining,Support Activities for Metal Mining,213114,1,21
Support Activities for Mining,Support Activities for Oil and Gas Operations,213112,22,21
Support Activities for Road Transportation,Motor Vehicle Towing,488410,21567,48
Support Activities for Road Transportation,Other Support Activities for Road Transportation,488490,6,48
Support Activities for Water Transportation,Port and Harbor Operations,488310,602,48
Taxi and Limousine Service,Limousine Service,485320,9524,48
Taxi and Limousine Service,Taxi Service,485310,6035,48
Technical and Trade Schools,Cosmetology and Barber Schools,611511,1162,61
Technical and Trade Schools,Flight Training,611512,19,61
Technical and Trade Schools,Other Technical and Trade Schools,611519,1014,61
Travel Arrangement and Reservation Services,All Other Travel Arrangement and Reservation Services,561599,1,56
Travel Arrangement and Reservation Services,Convention and Visitors Bureaus,561591,12,56
Travel Arrangement and Reservation Services,Tour Operators,561520,9,56
Travel Arrangement and Reservation Services,Travel Agencies,561510,494,56
Traveler Accommodation,All Other Traveler Accommodation,721199,40,72
Traveler Accommodation,Bed-and-Breakfast Inns,721191,3,72
Traveler Accommodation,Casino Hotels,721120,809,72
Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,86819,72
Urban Transit Systems,Bus and Other Motor Vehicle Transit Systems,485113,3,48
Urban Transit Systems,Commuter Rail Systems,485112,3,48
Urban Transit Systems,Mixed Mode Transit Systems,485111,1,48
Urban Transit Systems,Other Urban Transit Systems,485119,1,48
Used Merchandise Stores,Used Merchandise Stores,453310,34182,45
Utility System Construction,Water and Sewer Line and Related Structures Construction,237110,2362,23
Vegetable and Melon Farming,Potato Farming,111211,1,11
"Veneer, Plywood, and Engineered Wood Product Manufacturing",Hardwood Veneer and Plywood Manufacturing,321211,5,32
"Veneer, Plywood, and Engineered Wood Product Manufacturing",Reconstituted Wood Product Manufacturing,321219,5,32
"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",Heating Equipment (except Warm Air Furnaces) Manufacturing,333414,11,33
Warehousing and Storage,Farm Product Warehousing and Storage,493130,5,49
Warehousing and Storage,General Warehousing and Storage,493110,6458,49
Warehousing and Storage,Other Warehousing and Storage,493190,10,49
Warehousing and Storage,Refrigerated Warehousing and Storage,493120,670,49
Waste Collection,Other Waste Collection,562119,401,56
Waste Treatment and Disposal,Hazardous Waste Treatment and Disposal,562211,1783,56
Waste Treatment and Disposal,Solid Waste Landfill,562212,46,56
Wired and Wireless Telecommunications Carriers,Wired Telecommunications Carriers,517311,1,51
Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312,54441,51
