top_category,sub_category,naics_code,n_pois,naics_2digit
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,811310,1,81
Commercial and Industrial Machinery and Equipment Rental and Leasing,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",532412,2045,53
Commercial and Industrial Machinery and Equipment Rental and Leasing,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,532490,2899,53
"Community Food and Housing, and Emergency and Other Relief Services",Community Food Services,624210,246,62
"Community Food and Housing, and Emergency and Other Relief Services",Temporary Shelters,624221,2665,62
Computer Systems Design and Related Services,Other Computer Related Services,541519,1,54
Consumer Goods Rental,All Other Consumer Goods Rental,532289,15014,53
Consumer Goods Rental,Consumer Electronics and Appliances Rental,532210,36,53
Consumer Goods Rental,Recreational Goods Rental,532284,3669,53
Consumer Goods Rental,Video Tape and Disc Rental,532282,4768,53
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,Assisted Living Facilities for the Elderly,623312,19549,62
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,Continuing Care Retirement Communities,623311,200,62
Converted Paper Product Manufacturing,Corrugated and Solid Fiber Box Manufacturing,322211,34,32
Converted Paper Product Manufacturing,Paper Bag and Coated and Treated Paper Manufacturing,322220,1,32
Converted Paper Product Manufacturing,Stationery Product Manufacturing,322230,9,32
Couriers and Express Delivery Services,Couriers and Express Delivery Services,492110,24913,49
"Data Processing, Hosting, and Related Services","Data Processing, Hosting, and Related Services",518210,1361,51
Death Care Services,Cemeteries and Crematories,812220,36381,81
Death Care Services,Funeral Homes and Funeral Services,812210,8092,81
"Deep Sea, Coastal, and Great Lakes Water Transportation",Deep Sea Passenger Transportation,483112,9,48
Department Stores,Department Stores,452210,13293,45
Depository Credit Intermediation,Commercial Banking,522110,83158,52
Depository Credit Intermediation,Credit Unions,522130,19533,52
Depository Credit Intermediation,Savings Institutions,522120,3,52
Direct Selling Establishments,Fuel Dealers,454310,794,45
Direct Selling Establishments,Other Direct Selling Establishments,454390,8,45
Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,62777,72
Drugs and Druggists' Sundries Merchant Wholesalers,Drugs and Druggists' Sundries Merchant Wholesalers,424210,8164,42
Drycleaning and Laundry Services,Coin-Operated Laundries and Drycleaners,812310,1,81
